"site" "tree" "height" "id" "sp" "sample" "code_habit1" "Ramicaule" "Pseudobulb" "Monopodial" "LeafyStem" "empty" "habit1"
"137" "LH" "F07" "E3" "262" "Restrepia antennifera" "F07_E3" "5" "1" "0" "0" "0" "0" "Ramicaule"
"138" "LH" "F07" "E4" "263" "Restrepia antennifera" "F07_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"139" "LH" "F07" "E4" "264" "Restrepia antennifera" "F07_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"140" "LH" "F07" "E4" "265" "Lepanthopsis floripecten" "F07_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"141" "LH" "F07" "E4" "268" "Lepanthes sp.3" "F07_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"142" "LH" "F07" "E4" "269" "Lepanthes sp.2" "F07_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"143" "LH" "F07" "E4" "271" "Dichaea hystricina" "F07_E4" "2" "0" "0" "0" "1" "0" "Leafy stem"
"144" "LH" "F07" "E4" "272" "Dichaea hystricina" "F07_E4" "2" "0" "0" "0" "1" "0" "Leafy stem"
"145" "LH" "F07" "E4" "273" "Dichaea hystricina" "F07_E4" "2" "0" "0" "0" "1" "0" "Leafy stem"
"146" "LH" "F07" "E5" "274" "Stelis spathulata" "F07_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"147" "LH" "F07" "E5" "275" "Stelis spathulata" "F07_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"148" "LH" "F07" "E5" "276" "Stelis spathulata" "F07_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"149" "LH" "F07" "E5" "277" "Stelis spathulata" "F07_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"150" "LH" "F07" "E5" "278" "Restrepia antennifera" "F07_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"151" "LH" "F07" "E5" "279" "Restrepia antennifera" "F07_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"152" "LH" "F07" "E5" "280" "Restrepia antennifera" "F07_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"153" "LH" "F07" "E5" "281" "Lepanthopsis floripecten" "F07_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"154" "LH" "F07" "E5" "282" "Lepanthes sp.1" "F07_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"155" "LH" "F07" "E5" "283" "Lepanthes sp.1" "F07_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"156" "LH" "F07" "E5" "284" "Lepanthes sp.2" "F07_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"157" "LH" "F07" "E5" "285" "Lepanthes sp.3" "F07_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"158" "LH" "F07" "E5" "286" "Campylocentrum micranthum" "F07_E5" "2" "0" "0" "0" "1" "0" "Leafy stem"
"159" "LH" "F06" "E5" "290" "Oncidium pictum" "F06_E5" "4" "0" "1" "0" "0" "0" "Pseudobulb"
"160" "LH" "F06" "E5" "291" "Encyclia prostechea" "F06_E5" "4" "0" "1" "0" "0" "0" "Pseudobulb"
"161" "LH" "F06" "E5" "292" "Restrepia antennifera" "F06_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"162" "LH" "F06" "E5" "293" "Restrepia antennifera" "F06_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"163" "LH" "F06" "E5" "294" "Stelis spathulata" "F06_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"164" "LH" "F06" "E5" "295" "Stelis spathulata" "F06_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"165" "LH" "F06" "E5" "296" "Stelis spathulata" "F06_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"166" "LH" "F06" "E5" "297" "Stelis spathulata" "F06_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"167" "LH" "F06" "E5" "298" "Dichaea hystricina" "F06_E5" "2" "0" "0" "0" "1" "0" "Leafy stem"
"168" "LH" "F06" "E5" "299" "Stelis vulcanica" "F06_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"169" "LH" "F06" "E4" "386" "Campylocentrum micranthum" "F06_E4" "2" "0" "0" "0" "1" "0" "Leafy stem"
"170" "LH" "F06" "E4" "387" "Restrepia antennifera" "F06_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"171" "LH" "F06" "E4" "388" "Restrepia antennifera" "F06_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"172" "LH" "F06" "E4" "389" "Restrepia antennifera" "F06_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"173" "LH" "F06" "E4" "390" "Stelis spathulata" "F06_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"174" "LH" "F06" "E4" "391" "Stelis spathulata" "F06_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"175" "LH" "F06" "E4" "393" "Stelis spathulata" "F06_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"176" "LH" "F06" "E3" "395" "Oncidium pictum" "F06_E3" "4" "0" "1" "0" "0" "0" "Pseudobulb"
"177" "LH" "F06" "E3" "397" "Restrepia antennifera" "F06_E3" "5" "1" "0" "0" "0" "0" "Ramicaule"
"178" "LH" "F06" "E3" "398" "Stelis spathulata" "F06_E3" "5" "1" "0" "0" "0" "0" "Ramicaule"
"179" "LH" "F06" "E3" "399" "Stelis spathulata" "F06_E3" "5" "1" "0" "0" "0" "0" "Ramicaule"
"180" "LH" "F06" "E3" "400" "Stelis spathulata" "F06_E3" "5" "1" "0" "0" "0" "0" "Ramicaule"
"181" "LH" "F06" "E3" "401" "Campylocentrum micranthum" "F06_E3" "2" "0" "0" "0" "1" "0" "Leafy stem"
"182" "LH" "F06" "E3" "402" "Lepanthes sp.3" "F06_E3" "5" "1" "0" "0" "0" "0" "Ramicaule"
"183" "LH" "F06" "E3" "403" "Stelis argentata" "F06_E3" "5" "1" "0" "0" "0" "0" "Ramicaule"
"184" "LH" "F06" "E3" "404" "Cryptocentrum latifolium" "F06_E3" "3" "0" "0" "1" "0" "0" "Monopodial"
"185" "LH" "F06" "E3" "405" "Dichaea pendula" "F06_E3" "2" "0" "0" "0" "1" "0" "Leafy stem"
"186" "LH" "F06" "E3" "406" "Dichaea hystricina" "F06_E3" "2" "0" "0" "0" "1" "0" "Leafy stem"
"187" "LH" "F06" "E2" "407" "Cryptocentrum latifolium" "F06_E2" "3" "0" "0" "1" "0" "0" "Monopodial"
"188" "LH" "F06" "E2" "408" "Cryptocentrum latifolium" "F06_E2" "3" "0" "0" "1" "0" "0" "Monopodial"
"189" "LH" "F06" "E2" "409" "Cryptocentrum latifolium" "F06_E2" "3" "0" "0" "1" "0" "0" "Monopodial"
